Runtime coordinate,Declared POM license,License URL
androidx.lifecycle:lifecycle-viewmodel-savedstate-android:2.11.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.navigation:navigation-common-android:2.10.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.navigation:navigation-compose-android:2.10.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.navigation:navigation-runtime-android:2.10.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.navigationevent:navigationevent-android:1.1.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.navigationevent:navigationevent-compose-android:1.1.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.profileinstaller:profileinstaller:1.4.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.room:room-common-jvm:2.8.5,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.room:room-runtime-android:2.8.5,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.savedstate:savedstate-android:1.5.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.savedstate:savedstate-compose-android:1.5.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.savedstate:savedstate-ktx:1.5.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.sqlite:sqlite-android:2.6.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.sqlite:sqlite-framework-android:2.6.2,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.startup:startup-runtime:1.1.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.tracing:tracing:1.2.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.versionedparcelable:versionedparcelable:1.1.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.window:window-core-android:1.5.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
androidx.window:window:1.5.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
com.google.guava:listenablefuture:1.0,"The Apache Software License, Version 2.0 (inherited from guava-parent 26.0-android)",http://www.apache.org/licenses/LICENSE-2.0.txt
org.jetbrains.kotlin:kotlin-stdlib:2.4.20,Apache-2.0,http://www.apache.org/licenses/LICENSE-2.0.txt
org.jetbrains.kotlinx:kotlinx-coroutines-android:1.11.0,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.txt
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.11.0,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.txt
org.jetbrains.kotlinx:kotlinx-serialization-core-jvm:1.7.3,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt
org.jetbrains:annotations:23.0.0,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt
org.jspecify:jspecify:1.0.0,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
